event,round,winner,winnerid,loser,loserid
worlds2000,F,Jon Finkel,7d05pfwn,Bob Maher,jfvflnna
ptny00-mas,R32,Trevor Blackwell,o8q1tnkp,Jon Finkel,o8q1tnkp
ptny00-mas,R16,Benjamin Rubin,akq5t76h,Trevor Blackwell,akq5t76h
ptny00-mas,R8,Jason Zila,ng9mpb4s,Benjamin Rubin,ng9mpb4s
ptny00-mas,R4,Jason Zila,ng9mpb4s,Sigurd Eskeland,ng9mpb4s
ptny00-mas,F,William Jensen,i8olnjut,Jason Zila,ng9mpb4s
gpdal00,4,William Jensen,i8olnjut,Rick Chong,kbmn0wei
gpdal00,5,Scott Seville,7h18qwbk,William Jensen,i8olnjut
gpdal00,6,Tim Danziger,h0x63109,Scott Seville,7h18qwbk
gpdal00,7,Jonathan Lee,xva9s4ab,Tim Danziger,h0x63109
gpdal00,8,Tom Kelleher,dabm23qk,Jonathan Lee,xva9s4ab
gpdal00,9,Tom Kelleher,dabm23qk,Steven Livingston,zlby3yyg
gpdal00,10,Matthew Vienneau,79nnamgm,Tom Kelleher,79nnamgm
gpdal00,11,Matt Linde,eicssc44,Matthew Vienneau,79nnamgm
gpdal00,13,Chris Benafel,za15eg9p,Matt Linde,eicssc44
gpdal00,Q,Chris Benafel,za15eg9p,Dustin Stern,pg01kjgb
gpdal00,S,Chris Benafel,za15eg9p,Daniel Clegg,w53abt0c
gpdal00,F,Matthew Vienneau,79nnamgm,Chris Benafel,79nnamgm
ptchi00,1,Roc Herms,poe0gmt9,Matthew Vienneau,poe0gmt9
ptchi00,2,Roc Herms,poe0gmt9,Jason Opalka,poe0gmt9
ptchi00,3,Michael Pustilnik,ehdksfwi,Roc Herms,poe0gmt9
ptchi00,4,Michael Pustilnik,ehdksfwi,Gabriel Nassif,ehdksfwi
ptchi00,5,Michael Pustilnik,ehdksfwi,Joris Snijders,ehdksfwi
ptchi00,6,Michael Pustilnik,ehdksfwi,Gary Wise,ehdksfwi
ptchi00,7,Jon Finkel,7d05pfwn,Michael Pustilnik,ehdksfwi
ptchi00,8,Jon Finkel,7d05pfwn,Kamiel Cornelissen,cce4gcqr
ptchi00,9,Jon Finkel,7d05pfwn,Robert Dougherty,7d05pfwn
ptchi00,10,Brian Kibler,x1lebg8w,Jon Finkel,7d05pfwn
ptchi00,11,Brian Kibler,x1lebg8w,Michael Pustilnik,ehdksfwi
ptchi00,12,Kai Budde,zxhxt8nk,Brian Kibler,x1lebg8w
ptchi00,14,Kai Budde,zxhxt8nk,Arto Hiltunen,1g4pmqvd
ptchi00,Q,Kai Budde,zxhxt8nk,Jay Elarar,zxhxt8nk
ptchi00,S,Kai Budde,zxhxt8nk,Brian Kibler,zxhxt8nk
ptchi00,F,Kai Budde,zxhxt8nk,Kamiel Cornelissen,zxhxt8nk
gpams01,4,Rudiger Klings,w7qi2ff1,Kai Budde,w7qi2ff1
gpams01,5,Alex Shvartsman,h1hbo4vr,Rudiger Klings,h1hbo4vr
gpams01,6,Alex Shvartsman,h1hbo4vr,David Humpherys,h1hbo4vr
gpams01,7,Sturla Bingen,kskr994g,Alex Shvartsman,h1hbo4vr
gpams01,8,Rob van der Steenhoven,jx2cj5u0,Sturla Bingen,jx2cj5u0
gpams01,9,Rob van der Steenhoven,jx2cj5u0,Jan Doise,oblwv6w8
gpams01,10,Antoine Ruel,sj1mmye0,Rob van der Steenhoven,jx2cj5u0
gpams01,11,Antoine Ruel,sj1mmye0,Jan Doise,sj1mmye0
gpams01,13,Dave Price,j58u64wq,Antoine Ruel,sj1mmye0
gpams01,Q,Xavi Curto Vives,wwsjy024,Dave Price,j58u64wq
gpams01,S,Xavi Curto Vives,wwsjy024,Daniel O'Mahoney-Schwartz,iypepmkm
gpams01,F,Chris Benafel,za15eg9p,Xavi Curto Vives,za15eg9p
ptla01,1,Rick Chong,kbmn0wei,Chris Benafel,za15eg9p
ptla01,2,Bryan Hubble,w5ff12z1,Rick Chong,w5ff12z1
ptla01,3,Jeffrey 2 Clark,048qk4aa,Bryan Hubble,048qk4aa
ptla01,4,Jeffrey 2 Clark,048qk4aa,Scott Richards,eyqvwcds
ptla01,5,Yubin Tao,acyzblsg,Jeffrey 2 Clark,048qk4aa
ptla01,6,Yubin Tao,acyzblsg,Brock Parker,y6hfwkuy
ptla01,7,Scott Richards,eyqvwcds,Yubin Tao,acyzblsg
ptla01,8,Scott Richards,eyqvwcds,Robert Dougherty,5z3o5vm3
ptla01,9,Scott Richards,eyqvwcds,Eric Froehlich,zfs6gtsp
ptla01,10,Jon Finkel,7d05pfwn,Scott Richards,7d05pfwn
ptla01,11,Jon Finkel,7d05pfwn,Eric Froehlich,7d05pfwn
ptla01,12,Michael Gurney,s2z18pk6,Jon Finkel,s2z18pk6
ptla01,13,Michael Pustilnik,ehdksfwi,Michael Gurney,s2z18pk6
ptla01,14,Michael Pustilnik,ehdksfwi,Jon Finkel,ehdksfwi
ptla01,Q,Michael Pustilnik,ehdksfwi,Lawrence Creech,ehdksfwi
ptla01,S,Michael Pustilnik,ehdksfwi,Benedikt Klauser,ehdksfwi
ptla01,F,Michael Pustilnik,ehdksfwi,Kamiel Cornelissen,ehdksfwi
gpval01,4,Oscar Buj Llorca,ghb7w4n7,Michael Pustilnik,ehdksfwi
gpval01,5,Pierre-Alain Laur,s9fhsywh,Oscar Buj Llorca,s9fhsywh
gpval01,6,Pierre-Alain Laur,s9fhsywh,Christophe Joseph,zrd0ru05
gpval01,7,Hugo Mariano,xiov3eub,Pierre-Alain Laur,s9fhsywh
gpval01,8,Paco Francisco Llopis Martinez,gwosgvmg,Hugo Mariano,xiov3eub
