Id,name,money,nationality,teams
john-stevens,John Stevens,0,empty,empty
matthew-idoux,Matthew Idoux,0,United States of America,empty
brian-dudley,Brian Dudley,0,empty,empty
jeremy-humphrey,Jeremy Humphrey,0,empty,empty
daniel-campisi,Daniel Campisi,0,empty,empty
charles-hinton,Charles Hinton,0,empty,empty
tanis-tramontin,Tanis Tramontin,0,empty,empty
chris-kelly,Chris Kelly,0,United States of America,empty
tim-bonneville,Tim Bonneville,0,United States of America,empty
brad-cole,Brad Cole,0,empty,empty
carl-winter,Carl Winter,0,United States of America,empty
steve-landen,Steve Landen,0,empty,empty
david-pan,David Pan,0,empty,empty
dan-rodemann,Dan Rodemann,0,United States of America,empty
thomas-willoughby,Thomas Willoughby,0,United States of America,empty
chad-caudell,Chad Caudell,0,United States of America,empty
thomas-wood,Thomas Wood,0,United States of America,empty
ben-sowards,Ben Sowards,0,empty,empty
thomas-lapille,Thomas LaPille,0,United States of America,empty
josh-ochse,Josh Ochse,0,empty,empty
brian-davis,Brian Davis,0,United States of America,empty
brandon-rickard,Brandon Rickard,0,United States of America,empty
vincent-gaglio,Vincent Gaglio,0,,empty
andrew-benanzer,Andrew Benanzer,0,empty,empty
corey-cairns,Corey Cairns,0,empty,empty
brian-moss,Brian Moss,0,United States of America,empty
sandra-wongsuchit,Sandra Wongsuchit,0,empty,empty
allan-cox,Allan Cox,0,empty,empty
gary-dumlao,Gary Dumlao,0,empty,empty
tom-thai,Tom Thai,0,empty,empty
sam-rolph,Sam Rolph,0,Wales,"[{'season': 2018, 'team': 'GOAT'}]"
keisuke-sato,Keisuke Sato,0,Japan,empty
shota-yasooka,Shota Yasooka,0,Japan,"[{'season': 2016, 'team': 'Musashi'}, {'season': 2017, 'team': 'Musashi'}, {'season': 2018, 'team': 'Musashi'}]"
ivan-duris,Ivan Duris,0,Slovakia,empty
pascal-vieren,Pascal Vieren,0,Belgium,"[{'season': 2017, 'team': 'Cardmarket'}, {'season': 2018, 'team': 'Belgic Magic by Hareruya'}]"
eldar-tagi-zade,Eldar Tagi-Zade,0,Russian Federation,empty
michael-bonde,Michael Bonde,0,Denmark,"[{'season': 2016, 'team': 'MTG Bent Card'}, {'season': 2017, 'team': 'Snapcardster'}, {'season': 2018, 'team': 'Snapcardster X MTGMintcard'}]"
takuma-fujiyama,Takuma Fujiyama,0,Japan,empty
humberto-patarca,Humberto Patarca,0,Venezuela (Bolivarian Republic of),empty
holger-althues,Holger Althues,0,Germany,empty
masanori-hattori,Masanori Hattori,0,empty,empty
zachary-kiihne,Zachary Kiihne,0,United States of America,"[{'season': 2016, 'team': 'Cardhoarder'}]"
alex-saltzman,Alex Saltzman,0,empty,empty
elias-watsfeldt,Elias Watsfeldt,0,Sweden,empty
augusto-aguirre-gracia,Augusto Aguirre Gracia,0,empty,empty
roberto-castiello,Roberto Castiello,0,empty,empty
lev-ducenko,Lev Ducenko,0,Germany,empty
morteza-rohaninejad,Morteza Rohaninejad,0,United States of America,empty
