Source,Target,relation,money,team
kristoffer-lindqvist,arena-championship-8-2025,TopFinish,30000,
percy-fang,arena-championship-8-2025,TopFinish,20000,
steven-li,arena-championship-8-2025,TopFinish,15000,
muhan-yu,arena-championship-8-2025,TopFinish,15000,
kengo-nagao,arena-championship-8-2025,TopFinish,10000,
peter-duris,arena-championship-8-2025,TopFinish,10000,
maxim-barkman,arena-championship-8-2025,TopFinish,10000,
eliott-boussaud,arena-championship-8-2025,TopFinish,10000,
raul-porojan,magic-spotlight-foundations-utrecht-2025,TopFinish,10000,
alberto-manchado,magic-spotlight-foundations-utrecht-2025,TopFinish,5000,
arthur-brocsko,magic-spotlight-foundations-utrecht-2025,TopFinish,2500,
wladimir-jerger,magic-spotlight-foundations-utrecht-2025,TopFinish,2500,
nuno-vale,magic-spotlight-foundations-utrecht-2025,TopFinish,1000,
bartek-wojciechowski,magic-spotlight-foundations-utrecht-2025,TopFinish,1000,
sebastian-sachse,magic-spotlight-foundations-utrecht-2025,TopFinish,1000,
lorenzo-bellettini,magic-spotlight-foundations-utrecht-2025,TopFinish,1000,
quinton-lip,regional-championship-bangkok-2025,TopFinish,4500,
tan-wei-siong,regional-championship-bangkok-2025,TopFinish,2300,
daniel-jalleh,regional-championship-bangkok-2025,TopFinish,1100,
kelvin-chew,regional-championship-bangkok-2025,TopFinish,1100,
jake-hart,regional-championship-bangkok-2025,TopFinish,500,
thirawat-chaovarindr,regional-championship-bangkok-2025,TopFinish,500,
claire-tian,regional-championship-bangkok-2025,TopFinish,500,
daston-lam,regional-championship-bangkok-2025,TopFinish,500,
javier-castellan,regional-championship-mexico-city-1-2025,TopFinish,4000,
pablo-duque,regional-championship-mexico-city-1-2025,TopFinish,2000,
daniel-isaias,regional-championship-mexico-city-1-2025,TopFinish,1000,
dalibor-trnka,regional-championship-mexico-city-1-2025,TopFinish,1000,
jesus-carlos-aguilar-granados,regional-championship-mexico-city-1-2025,TopFinish,550,
vinicio-sanchez-delgado,regional-championship-mexico-city-1-2025,TopFinish,550,
alejandro-winkler,regional-championship-mexico-city-1-2025,TopFinish,550,
juan-francisco-valladares-rodriguez,regional-championship-mexico-city-1-2025,TopFinish,550,
federico-giardini,regional-championship-santiago-2025,TopFinish,4000,
marcelo-lopez-lagos,regional-championship-santiago-2025,TopFinish,2000,
oscar-miles,regional-championship-santiago-2025,TopFinish,120,
eddie-dominguez,regional-championship-santiago-2025,TopFinish,1200,
carlos-torrico,regional-championship-santiago-2025,TopFinish,750,
martin-dominguez,regional-championship-santiago-2025,TopFinish,750,
lucas-luciano-berna-pena,regional-championship-santiago-2025,TopFinish,750,
roland-carmona,regional-championship-santiago-2025,TopFinish,750,
jesse-robkin,regional-championship-charlotte-2025,TopFinish,20000,
corey-burkhart,regional-championship-charlotte-2025,TopFinish,10000,
joe-leo,regional-championship-charlotte-2025,TopFinish,5000,
christian-baker,regional-championship-charlotte-2025,TopFinish,5000,
louis-salerno,regional-championship-charlotte-2025,TopFinish,3000,
brandon-mcarthur,regional-championship-charlotte-2025,TopFinish,3000,
jake-stine,regional-championship-charlotte-2025,TopFinish,3000,
victor-hawkins,regional-championship-charlotte-2025,TopFinish,3000,
kunrui-wang,regional-championship-wuhan-2025,TopFinish,5000,
haochen-zhou,regional-championship-wuhan-2025,TopFinish,2500,
weiyang-chen,regional-championship-wuhan-2025,TopFinish,1250,
hanbin-zhou,regional-championship-wuhan-2025,TopFinish,1250,
muhan-yu,regional-championship-wuhan-2025,TopFinish,1000,
yehong-zhang,regional-championship-wuhan-2025,TopFinish,1000,
hongrui-yin,regional-championship-wuhan-2025,TopFinish,1000,
yang-feng,regional-championship-wuhan-2025,TopFinish,1000,
matthew-nass,pro-tour-aetherdrift-2025,TopFinish,50000,
james-dimitrov,pro-tour-aetherdrift-2025,TopFinish,30000,
christopher-leonard-huu-nguyen,pro-tour-aetherdrift-2025,TopFinish,15000,
yuchen-liu,pro-tour-aetherdrift-2025,TopFinish,15000,
zevin-faust,pro-tour-aetherdrift-2025,TopFinish,9000,
kenta-harane,pro-tour-aetherdrift-2025,TopFinish,9000,
lucas-duchow,pro-tour-aetherdrift-2025,TopFinish,9000,
ian-robb,pro-tour-aetherdrift-2025,TopFinish,9000,
shi-feng-lin,regional-championship-taipei-city-1-2025,TopFinish,1200,
chikuan-lin,regional-championship-taipei-city-1-2025,TopFinish,800,
ai-chen-chang,regional-championship-taipei-city-1-2025,TopFinish,500,
wei-hao-huang,regional-championship-taipei-city-1-2025,TopFinish,500,
taoliang-chang,regional-championship-taipei-city-1-2025,TopFinish,300,
sek-un-kho---,regional-championship-taipei-city-1-2025,TopFinish,300,
bor-hong-chen,regional-championship-taipei-city-1-2025,TopFinish,300,
zehao-chen,regional-championship-taipei-city-1-2025,TopFinish,300,
no-ah-ma,regional-championship-chiba-2025,TopFinish,4000,
masataka-hori,regional-championship-chiba-2025,TopFinish,2400,
riku-kumagai,regional-championship-chiba-2025,TopFinish,2000,
hiroki-kageyama,regional-championship-chiba-2025,TopFinish,2000,
charles-namchaisiri,regional-championship-chiba-2025,TopFinish,1400,
ryuji-mimidou,regional-championship-chiba-2025,TopFinish,1400,
ryo-ito,regional-championship-chiba-2025,TopFinish,1400,
kenta-masukado,regional-championship-chiba-2025,TopFinish,1400,
peter-huisian,regional-championship-portland-2025,TopFinish,20000,
jackson-knorr,regional-championship-portland-2025,TopFinish,10000,
