Id,Label,type,date,season,formats,medium,location,coverage,logo,teamsize,NodeType
arena-championship-8-2025,Arena Championship 8,Arena Championship,"March 29-30, 2025",2025,Explorer,Arena,Global,https://magic.gg/events/arena-championship-8,,1,Event
magic-spotlight-foundations-utrecht-2025,Magic Spotlight:  Modern – Utrecht 2025,Magic Spotlight,"March 15-16, 2025",2025,Modern,Tabletop,"Utrecht, Netherlands",https://magic.gg/events/magic-spotlight-modern-utrecht-2025,,1,Event
regional-championship-bangkok-2025,South East Asia Championship Final: Bangkok,Regional Championship,"March 15-16, 2025",2025,Modern,Tabletop,"Bangkok, Thailand",https://magic.gg/events/sea-championship-final-bangkok-march-2025,,1,Event
regional-championship-mexico-city-1-2025,Central America Magic Series Regional Championship: Mexico City,Regional Championship,"March 15-16, 2025",2025,Modern,Tabletop,"Mexico City, Mexico",https://magic.gg/events/central-america-magic-series-regional-championship-mexico-city-march-2025,,1,Event
regional-championship-santiago-2025,South America Magic Series: Santiago,Regional Championship,"March 15-16, 2025",2025,Modern,Tabletop,"Santiago de Chile, Chile",https://magic.gg/events/south-america-magic-series-santiago-march-2025,,1,Event
regional-championship-charlotte-2025,United States Regional Championship: Charlotte,Regional Championship,"March 8-9, 2025",2025,Modern,Tabletop,"Charlotte, North Carolina, United States",https://magic.gg/events/united-states-regional-championships-charlotte-march-2025,,1,Event
regional-championship-wuhan-2025,MTG China Open: Wuhan,Regional Championship,"February 28-March 1, 2025",2025,Modern,Tabletop,"Wuhan, China",https://magic.gg/events/mtg-china-open-wuhan-february-2025,,1,Event
pro-tour-aetherdrift-2025,Pro Tour Aetherdrift,Pro Tour,"February 21-23, 2025",2025,Standard;Aetherdrift Draft,Tabletop,"Chicago, Illinois, United States",https://magic.gg/events/pro-tour-aetherdrift,,1,Event
regional-championship-taipei-city-1-2025,MIT Championship: Taipei City,Regional Championship,"February 15-16, 2025",2025,Modern,Tabletop,"Taipei City, Taiwan",https://magic.gg/events/mit-championship-finals-taipei-city-february-2025,,1,Event
regional-championship-chiba-2025,Champions Cup Final: Chiba,Regional Championship,"February 7-9, 2025",2025,Modern,Tabletop,"Chiba, Japan",https://magic.gg/events/champions-cup-final-chiba-february-2025,,1,Event
regional-championship-portland-2025,United States Regional Championship: Portland,Regional Championship,"February 7-9, 2025",2025,Modern,Tabletop,"Portland, Oregon, United States",https://magic.gg/events/united-states-regional-championships-portland-february-2025,,1,Event
regional-championship-ottawa-2025,F2F Tour Championship: Ottawa,Regional Championship,"January 25-26, 2025",2025,Modern,Tabletop,"Ottawa, Canada",https://magic.gg/events/f2f-tour-championship-ottawa-january-2025,,1,Event
regional-championship-prague-2025,Ultimate Guard European Magic Series Championship: Prague,Regional Championship,"January 25-26, 2025",2025,Modern,Tabletop,"Prague, Czech Republic",https://magic.gg/events/ultimate-guard-european-magic-series-prague-january-2025,,1,Event
regional-championship-sao-paulo-1-2025,City Class Showdown: São Paulo,Regional Championship,"January 25-26, 2025",2025,Modern,Tabletop,"São Paulo, Brazil",https://magic.gg/events/city-class-showdown-sao-paulo-january-2025,,1,Event
magic-spotlight-foundations-atlanta-2025,Magic Spotlight: Foundations – Atlanta 2025,Magic Spotlight,"January 3-5, 2025",2025,Standard,Tabletop,"Atlanta, Georgia, United States",https://magic.gg/events/magic-spotlight-foundations-atlanta-2025,,1,Event
arena-championship-7-2024,2024 Arena Championship 7,Arena Championship,"December 14-15, 2024",2024,Standard,Arena,Global,https://magic.gg/events/arena-championship-7,,1,Event
eternal-championships-legacy-europe-2024,EU Legacy Championships 2024,Eternal Championships - Legacy,"December 8-9, 2024",2024,Legacy,Tabletop,"Prague, Czech Republic",https://melee.gg/Tournament/View/203520,,1,Event
eternal-championships-vintage-europe-2024,EU Vintage Championships 2024,Eternal Championships - Vintage,"December 8, 2024",2024,Vintage,Tabletop,"Prague, Czech Republic",https://melee.gg/Tournament/View/203530,,1,Event
regional-championship-mexico-city-3-2024,The Gathering Showdown: Mexico City,Regional Championship,"November 29-December 1, 2024",2024,Pioneer,Tabletop,"Mexico City, Mexico",https://magic.gg/events/central-america-magic-series-regional-championship-mexico-city-november-2024,,1,Event
eternal-championships-legacy-north-america-2024,North America Legacy Championships 2024,Eternal Championships - Legacy,"November 23, 2024",2024,Legacy,Tabletop,"Pittsburgh, Pennsylvania, United States",https://melee.gg/Tournament/View/160889,,1,Event
eternal-championships-vintage-north-america-2024,North America Vintage Championships 2024,Eternal Championships - Vintage,"November 22, 2024",2024,Vintage,Tabletop,"Pittsburgh, Pennsylvania, United States",https://melee.gg/Tournament/View/160879,,1,Event
regional-championship-calgary-2024,F2F Tour Championship: Calgary,Regional Championship,"November 16-17, 2024",2024,Pioneer,Tabletop,"Calgary, Canada",https://magic.gg/events/f2f-tour-championship-calgary-november-2024,,1,Event
regional-championship-lille-2024,Ultimate Guard European Magic Series: Lille,Regional Championship,"November 8-9, 2024",2024,Pioneer,Tabletop,"Lille, France",https://magic.gg/events/ultimate-guard-european-magic-series-lille-november-2024,,1,Event
regional-championship-sydney-2024,ANZ Super Series Finals: Sydney,Regional Championship,"November 8-10, 2024",2024,Pioneer,Tabletop,"Sydney, Australia",https://magic.gg/events/anz-super-series-finals-sydney-november-2024,,1,Event
regional-championship-santiago-3-2024,South America Magic Series: Santiago,Regional Championship,"November 2-3, 2024",2024,Pioneer,Tabletop,"Santiago de Chile, Chile",https://magic.gg/events/south-america-magic-series-santiago-november-2024,,1,Event
regional-championship-shanghai-2024,MTG China Open: Shanghai,Regional Championship,"November 1-3, 2024",2024,Pioneer,Tabletop,"Shanghai, China",https://magic.gg/events/mtg-china-open-shanghai-november-2024,,1,Event
world-championships-2024,World Championship XXX,World Championships,"October 25-27, 2024",2024,Draft;Standard,Tabletop,"Las Vegas, Nevada, United States",https://magic.gg/events/magic-world-championship-30,,1,Event
regional-championship-taipei-city-3-2024,MIT Championship: Taipei City,Regional Championship,"October 19-20, 2024",2024,Pioneer,Tabletop,"Taipei City, Taiwan",https://magic.gg/events/mit-championship-finals-taipei-city-october-2024,,1,Event
eternal-championships-legacy-asia-2024,Asia Legacy Championships 2024,Eternal Championships - Legacy,"October 12, 2024",2024,Legacy,Tabletop,"Shizuoka, Japan",https://www.mtggoldfish.com/articles/this-week-in-legacy-eternal-weekend-asia-2024,,1,Event
regional-championship-shizuoka-2024,Champions Cup Final: Shizuoka,Regional Championship,"October 12-13, 2024",2024,Pioneer,Tabletop,"Shizuoka, Japan",https://magic.gg/events/champions-cup-final-shizuoka-october-2024,,1,Event
regional-championship-singapore-2024,South East Asia Championships Final: Singapore,Regional Championship,"October 12-13, 2024",2024,Pioneer,Tabletop,Singapore,https://magic.gg/events/sea-championship-final-singapore-october-2024,,1,Event
regional-championship-washington-d-c-2024,"United States Regional Championships: Washington, DC",Regional Championship,"October 5-6, 2024",2024,Pioneer,Tabletop,"Washington, D.C., United States",https://magic.gg/events/united-states-regional-championships-washington-dc-october-2024,,1,Event
regional-championship-sao-paulo-3-2024,City Class Showdown: São Paulo,Regional Championship,"September 28-29, 2024",2024,Pioneer,Tabletop,"São Paulo, Brazil",https://magic.gg/events/city-class-showdown-sao-paulo-september-2024,,1,Event
champions-showcase-2-2024,2024 Magic Online Champions Showcase 2,Champions Showcase,"September 15, 2024",2024,Vintage Cube Draft;Modern,Magic Online,Global,https://magic.gg/events/2024-magic-online-champions-showcase-season-2,,1,Event
arena-championship-6-2024,2024 Arena Championship 6,Arena Championship,"July 13-14, 2024",2024,Historic;Modern Horizons III Draft,Arena,Global,https://magic.gg/events/arena-championship-6,,1,Event
pro-tour-modern-horizons-3-2024,Pro Tour Modern Horizons 3,Pro Tour,"June 28-30, 2024",2024,Modern;Modern Horizons 3 Draft,Tabletop,"Amsterdam, Netherlands",https://magic.gg/events/pro-tour-modern-horizons-3,,1,Event
regional-championship-dallas-2024,Dreamhack Magic Showdown: Dallas,Regional Championship,"June 1-2, 2024",2024,Standard,Tabletop,"Dallas, Texas, United States",https://magic.gg/events/dreamhack-magic-showdown-dallas-june-2024,,1,Event
regional-championship-mexico-city-2-2024,The Gathering Showdown: Mexico City,Regional Championship,"June 1-2, 2024",2024,Standard,Tabletop,"Mexico City, Mexico",https://magic.gg/events/the-gathering-showdown-mexico-city-june-2024,,1,Event
regional-championship-santiago-2-2024,South America Magic Series: Santiago,Regional Championship,"June 1-2, 2024",2024,Standard,Tabletop,"Santiago de Chile, Chile",https://magic.gg/events/south-america-magic-series-santiago-june-2024,,1,Event
regional-championship-san-juan-2024,South East Asia Championship: San Juan,Regional Championship,"May 31-June 1, 2024",2024,Standard,Tabletop,"San Juan, Philippines",https://magic.gg/events/sea-championship-final-san-juan-june-2024,,1,Event
regional-championship-nagoya-2024,Champions Cup Final: Nagoya,Regional Championship,"May 26-27, 2024",2024,Standard,Tabletop,"Nagoya, Japan",https://magic.gg/events/champions-cup-final-nagoya-may-2024,,1,Event
regional-championship-beijing-2024,MTG China Open: Beijing,Regional Championship,"May 25-26, 2024",2024,Standard,Tabletop,"Beijing, China",https://magic.gg/events/mtg-china-open-beijing-may-2024,,1,Event
regional-championship-melbourne-2-2024,ANZ Super Series Finals: Melbourne,Regional Championship,"May 25-26, 2024",2024,Standard,Tabletop,"Melbourne, Australia",https://magic.gg/events/anz-super-series-finals-melbourne-may-2024,,1,Event
regional-championship-naples-2024,Legacy European Championship: Naples,Regional Championship,"May 25-26, 2024",2024,Standard,Tabletop,"Naples, Italy",https://magic.gg/events/legacy-european-championship-naples-may-2024,,1,Event
regional-championship-taipei-city-2-2024,MIT Championship Finals: Taipei City,Regional Championship,"May 25-26, 2024",2024,Standard,Tabletop,"Taipei City, Taiwan",https://magic.gg/events/mit-championship-finals-taipei-city-may-2024,,1,Event
champions-showcase-1-2024,2024 Magic Online Champions Showcase 1,Champions Showcase,"May 18, 2024",2024,Vintage Cube Draft;Modern,Magic Online,Global,https://magic.gg/events/2024-magic-online-champions-showcase-season-1,,1,Event
regional-championship-sao-paulo-2-2024,City Class Showdown: São Paulo,Regional Championship,"May 4-5, 2024",2024,Standard,Tabletop,"São Paulo, Brazil",https://magic.gg/events/city-class-showdown-sao-paulo-may-2024,,1,Event
regional-championship-montreal-2024,F2F Tour Championship: Montreal,Regional Championship,"May 3-5, 2024",2024,Standard,Tabletop,"Montreal, Canada",https://magic.gg/events/f2f-tour-championship-montreal-may-2024,,1,Event
pro-tour-outlaws-of-thunder-junction-2024,Pro Tour Outlaws of Thunder Junction,Pro Tour,"April 26-28, 2024",2024,Standard;Outlaws of Thunder Junction Draft,Tabletop,"Seattle, Washington, United States",https://magic.gg/events/pro-tour-thunder-junction,,1,Event
arena-championship-5-2024,2024 Arena Championship 5,Arena Championship,"March 30-31, 2024",2024,Explorer;Murders of Karlov Manor Draft,Arena,Global,https://magic.gg/events/arena-championship-5,,1,Event
regional-championship-bangkok-2024,South East Asia Championship Finals: Bangkok,Regional Championship,"March 9-10, 2024",2024,Modern,Tabletop,"Bangkok, Thailand",https://magic.gg/events/mtg-sea-championship-bangkok-march-2024,,1,Event
regional-championship-guangzhou-2024,MTG China Open: Guangzhou,Regional Championship,"March 9-10, 2024",2024,Modern,Tabletop,"Guangzhou, China",https://magic.gg/events/mtg-china-open-guangzhou-march-2024,,1,Event
regional-championship-melbourne-1-2024,ANZ Super Series Finals: Melbourne,Regional Championship,"March 9-10, 2024",2024,Modern,Tabletop,"Melbourne, Australia",https://magic.gg/events/anz-super-series-finals-melbourne-march-2024,,1,Event
regional-championship-santiago-1-2024,South America Magic Series: Santiago,Regional Championship,"March 9-10, 2024",2024,Modern,Tabletop,"Santiago, Chile",https://magic.gg/events/south-america-magic-series-santiago-march-2024,,1,Event
regional-championship-taipei-city-1-2024,MIT Championship Finals: Taipei City,Regional Championship,"March 9-10, 2024",2024,Modern,Tabletop,"Taipei City, Taiwan",https://magic.gg/events/mit-championship-finals-taipei-city-march-2024,,1,Event
regional-championship-mexico-city-1-2024,The Gathering Showdown: Mexico City,Regional Championship,"March 2-3, 2024",2024,Modern,Tabletop,"Mexico City, Mexico",https://magic.gg/events/the-gathering-showdown-mexico-city-march-2024,,1,Event
pro-tour-murders-at-karlov-manor-2024,Pro Tour Murders at Karlov Manor,Pro Tour,"February 23-25, 2024",2024,Pioneer;Murders at Karlos Manor Draft,Tabletop,"Chicago, Illinois, United States",https://magic.gg/events/pro-tour-murders-at-karlov-manor,,1,Event
regional-championship-yokohama-2024,Champions Cup Final: Yokohama,Regional Championship,"February 11-12, 2024",2024,Modern,Tabletop,"Yokohama, Japan",https://magic.gg/events/dreamhack-magic-showdown-denver-february-2024,,1,Event
regional-championship-denver-2024,Dreamhack Magic Showdown: Denver,Regional Championship,"February 10-11, 2024",2024,Modern,Tabletop,"Denver, Colorado, United States",https://magic.gg/events/dreamhack-magic-showdown-denver-february-2024,,1,Event
regional-championship-ottawa-2024,F2F Tour Championship: Ottawa,Regional Championship,"February 10-11, 2024",2024,Modern,Tabletop,"Ottawa, Canada",https://magic.gg/events/f2f-tour-championship-ottawa-february-2024,,1,Event
regional-championship-ghent-2024,Legacy European Championship: Ghent,Regional Championship,"January 27-28, 2024",2024,Modern,Tabletop,"Ghent, Belgium",https://magic.gg/events/legacy-european-championship-ghent-january-2024,,1,Event
regional-championship-sao-paulo-1-2024,City Class Showdown: São Paulo,Regional Championship,"January 27-28, 2024",2024,Modern,Tabletop,"São Paulo, Brazil",https://magic.gg/events/city-class-showdown-sao-paulo-january-2024,,1,Event
champions-showcase-3-2024,2024 Magic Online Champions Showcase 3,Champions Showcase,"January 19, 2024",2024,Vintage Cube Draft;Modern,Magic Online,Global,https://magic.gg/events/2024-magic-online-champions-showcase-season-3,,1,Event
